api,reported_fluid_type,lease_name,well_num,6mo_oil,6mo_time,1_mo_oil,1_mo_gas,2_mo_oil,2_mo_gas,cum_oil,cum_gas,formation,top_d,btm_d,operator,basin,td,tvd,elevation,spud_date,surf_lat,surf_long,btm_lat,btm_long,stages,total_prop,total_fluid_pumped,reported_ll,stages_2,stage_delta,initial_GOR,calculated_LL,closest_offset,OffsetBHLat,OffsetBHLong
42255328990000,O,METZ RANCH UNIT A,1,75763,6,4482,4949,10880,11175,254771,409603,EAGLE FORD,11511,15738,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),16007,11554,396.8,3/30/2013,29.0585881,-97.7495889,29.0465112,-97.7400303,2,6412000,85904,4304,1,1,1104.194556,5357.89285,42255329040000,29.0491616,-97.7401644
42255334330000,G,A VAUGHN UNIT A,2,125025,6,5650,20720,22478,89330,289372,1280012,EAGLE FORD,13321,19164,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),19363,12945,294.9,1/24/2014,28.9282889,-97.7668806,28.9128302,-97.7567029,2,9030000,134626,5928,1,1,3667.256637,6509.338556,42255358430000,28.9126096,-97.756352
42177324630000,O,ADELE DUBOSE,2,53250,6,17784,22227,11341,13999,246969,648310,EAGLE FORD,12439,17252,ROSETTA RESOURCES OPERATING LP,KARNES FAULT ZONE (GULF COAST BASIN),17977,11579,409,3/9/2012,29.1586389,-97.5792222,29.1732829,-97.5902792,17,4349000,77503,5959,64,-47,1249.831309,6399.378101,42177326800000,29.1722777,-97.5916288
42255332890000,O,ALLEN UNIT A,2,129472,6,12667,13037,25311,32806,336638,504056,EAGLE FORD,13092,18560,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18788,12402,332,10/19/2013,28.9715444,-97.7631,28.9816052,-97.7765027,2,6924000,107913,5752,1,1,1029.209758,5636.598006,42255339860000,28.9791752,-97.7768589
42297351700000,G,BETTY KENNEDY UNIT A,2,56283,6,3114,15429,8221,42358,147856,1020821,EAGLE FORD,12862,17158,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17370,12309,362,10/1/2012,28.6591131,-98.0883499,28.671817,-98.096156,2,5428000,66189,4466,1,1,4954.720617,5265.555507,42297351730000,28.6717178,-98.0940854
42123334040000,O,BRASWELL UNIT B,2,148939,6,8594,7895,21651,23798,535134,948705,EAGLE FORD,12875,18331,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18577,12016,381,9/9/2014,29.1600556,-97.515725,29.1717331,-97.5298783,2,8074000,102687,5803,1,1,918.6641843,6203.324029,42123334050000,29.171044,-97.5304857
42297355840000,G,BURGESS UNIT A,2,95303,6,2682,8341,18032,64953,280790,1421244,EAGLE FORD,12261,18442,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18593,11697,387,8/14/2014,28.7241639,-98.0500833,28.7394612,-98.0653872,2,9226000,114400,6237,1,1,3109.992543,7424.151252,42297354720000,28.7401162,-98.0656772
42255351870000,O,BUSSELMAN UNIT A,2,112052,6,20422,16645,25856,24516,300293,370277,EAGLE FORD,11788,16974,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17141,11390,328,2/6/2017,28.9149944,-97.9198306,28.9300887,-97.9263167,2,16798000,278427,5278,1,1,815.0523945,5883.555747,42255329860000,28.9307324,-97.9259841
42297354520000,O,COLVIN UNIT A,2,103003,6,831,2057,18484,52136,293936,753074,EAGLE FORD,12704,18504,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18701,11892,341,12/9/2013,28.6706296,-98.1077671,28.685929,-98.1209616,2,8704000,131952,5928,1,1,2475.330927,6999.450027,42297356070100,28.6857659,-98.1199032
42123338060000,O,D BAKER UNIT B,2,148927,6,17661,43591,30387,82498,392955,1307901,EAGLE FORD,13082,17247,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),17400,12987,356.4,8/17/2015,29.0975861,-97.5501472,29.0903621,-97.5340304,2,8432000,145156,4109,1,1,2468.206783,5774.590887,42123338050000,29.0908814,-97.533883
