Month,Mbbls_per_day
01/04/2020,361831
01/03/2020,394645
01/02/2020,369682
01/01/2020,395391
01/12/2019,397204
01/11/2019,385989
01/10/2019,392898
01/09/2019,374356
01/08/2019,383927
01/07/2019,366514
01/06/2019,361805
01/05/2019,375507
01/04/2019,363682
01/03/2019,368644
01/02/2019,326734
01/01/2019,367548
01/12/2018,373164
01/11/2018,359979
01/10/2018,360572
01/09/2018,344930
01/08/2018,352176
01/07/2018,337621
01/06/2018,319472
01/05/2018,324245
01/04/2018,315308
01/03/2018,325625
01/02/2018,287879
01/01/2018,310548
01/12/2017,309172
01/11/2017,302120
01/10/2017,299250
01/09/2017,285356
01/08/2017,286702
01/07/2017,286287
01/06/2017,273198
01/05/2017,284659
01/04/2017,273008
01/03/2017,284028
01/02/2017,254875
01/01/2017,274763
01/12/2016,272731
01/11/2016,266924
01/10/2016,273858
01/09/2016,256015
01/08/2016,268963
01/07/2016,268018
01/06/2016,259624
01/05/2016,273504
01/04/2016,266065
01/03/2016,281760
01/02/2016,262610
01/01/2016,285111
01/12/2015,287168
01/11/2015,279648
01/10/2015,291271
01/09/2015,284344
01/08/2015,291851
01/07/2015,292693
01/06/2015,280622
01/05/2015,293681
01/04/2015,289651
01/03/2015,297133
01/02/2015,266196
01/01/2015,290880
01/12/2014,296382
01/11/2014,279495
01/10/2014,286928
01/09/2014,272335
01/08/2014,276342
01/07/2014,274213
01/06/2014,262402
01/05/2014,267962
01/04/2014,255655
01/03/2014,257010
01/02/2014,228244
01/01/2014,250238
01/12/2013,245758
01/11/2013,237483
01/10/2013,240477
01/09/2013,235077
01/08/2013,233462
01/07/2013,233225
01/06/2013,218279
01/05/2013,227060
01/04/2013,221142
01/03/2013,223307
01/02/2013,200123
01/01/2013,219508
01/12/2012,220007
01/11/2012,212221
01/10/2012,215840
01/09/2012,197777
01/08/2012,196723
01/07/2012,199094
01/06/2012,187992
01/05/2012,197316
01/04/2012,189673
01/03/2012,196083
01/02/2012,181703
01/01/2012,191275
01/12/2011,187441
01/11/2011,181022
01/10/2011,182923
01/09/2011,168416
01/08/2011,175576
01/07/2011,168617
01/06/2011,167619
01/05/2011,174296
01/04/2011,166728
01/03/2011,174068
01/02/2011,151291
01/01/2011,170319
01/12/2010,173812
01/11/2010,167255
01/10/2010,174546
01/09/2010,168470
01/08/2010,168862
01/07/2010,164232
01/06/2010,161384
01/05/2010,167427
01/04/2010,161770
01/03/2010,170975
01/02/2010,155496
01/01/2010,167529
01/12/2009,169004
01/11/2009,161838
01/10/2009,171258
01/09/2009,166765
01/08/2009,167945
01/07/2009,167336
01/06/2009,158079
01/05/2009,166684
01/04/2009,158344
01/03/2009,161776
01/02/2009,146698
01/01/2009,159467
01/12/2008,158183
01/11/2008,152343
01/10/2008,146868
01/09/2008,119208
01/08/2008,155092
01/07/2008,160481
01/06/2008,154133
01/05/2008,159437
01/04/2008,155403
01/03/2008,160868
01/02/2008,149297
01/01/2008,158566
01/12/2007,158427
01/11/2007,151021
01/10/2007,155680
01/09/2007,147061
01/08/2007,154060
01/07/2007,156175
01/06/2007,152254
01/05/2007,161548
01/04/2007,155407
01/03/2007,158697
01/02/2007,143301
01/01/2007,158342
01/12/2006,160768
01/11/2006,151926
01/10/2006,158353
01/09/2006,150926
01/08/2006,156232
01/07/2006,157919
01/06/2006,154884
01/05/2006,159667
01/04/2006,152450
01/03/2006,155842
01/02/2006,140894
01/01/2006,156480
01/12/2005,154630
01/11/2005,145708
01/10/2005,141200
01/09/2005,126417
01/08/2005,161153
01/07/2005,162854
01/06/2005,163263
01/05/2005,173491
01/04/2005,166885
01/03/2005,173626
01/02/2005,154038
01/01/2005,168831
01/12/2004,170815
01/11/2004,162699
01/10/2004,160270
01/09/2004,152444
01/08/2004,165072
01/07/2004,170011
01/06/2004,162208
01/05/2004,172235
01/04/2004,166810
01/03/2004,174115
01/02/2004,161583
01/01/2004,173132
01/12/2003,172715
01/11/2003,166397
01/10/2003,174020
01/09/2003,168270
01/08/2003,172787
01/07/2003,170452
01/06/2003,169772
01/05/2003,175568
01/04/2003,171774
01/03/2003,179907
01/02/2003,161920
01/01/2003,178412
01/12/2002,177372
01/11/2002,168706
01/10/2002,166105
01/09/2002,162336
01/08/2002,179670
01/07/2002,178275
01/06/2002,176532
01/05/2002,183057
01/04/2002,175333
01/03/2002,182460
01/02/2002,164666
01/01/2002,182076
01/12/2001,182511
01/11/2001,176441
01/10/2001,178129
01/09/2001,171270
01/08/2001,177488
01/07/2001,178208
01/06/2001,172974
01/05/2001,180712
01/04/2001,175879
01/03/2001,182290
01/02/2001,161843
01/01/2001,179767
01/12/2000,181508
01/11/2000,174980
01/10/2000,180080
01/09/2000,172731
01/08/2000,179451
01/07/2000,177920
01/06/2000,174686
01/05/2000,181242
01/04/2000,175625
01/03/2000,183464
01/02/2000,169703
01/01/2000,179316
01/12/1999,184716
01/11/1999,178811
01/10/1999,184361
01/09/1999,174113
01/08/1999,179187
01/07/1999,179738
01/06/1999,172808
01/05/1999,182122
01/04/1999,176616
01/03/1999,182362
01/02/1999,167034
01/01/1999,184864
01/12/1998,187347
01/11/1998,184198
01/10/1998,190420
01/09/1998,173676
01/08/1998,192282
01/07/1998,192026
01/06/1998,188018
01/05/1998,196754
01/04/1998,194483
01/03/1998,198639
01/02/1998,181321
01/01/1998,202756
01/12/1997,202464
01/11/1997,193778
01/10/1997,200482
01/09/1997,194575
01/08/1997,196769
01/07/1997,198691
01/06/1997,193252
01/05/1997,200702
01/04/1997,193239
01/03/1997,200013
