Month,Refiner_Sales
4/20/2020,12319
3/20/2020,18507.6
2/20/2020,23314.2
1/20/2020,22800.8
12/19/2020,23342.7
11/19/2020,23859.9
10/19/2020,24013.2
9/19/2020,24052.3
8/19/2020,25860.6
7/19/2020,24798.3
6/19/2020,24949
5/19/2020,24689.5
4/19/2020,24144.3
3/19/2020,24340.2
2/19/2020,23566.5
1/19/2020,23191.3
12/18/2020,24182.4
11/18/2020,24640.4
10/18/2020,24712.2
9/18/2020,24365.1
8/18/2020,25382.6
7/18/2020,24555.5
6/18/2020,25098.9
5/18/2020,24308.2
4/18/2020,23817.7
3/18/2020,24142.7
2/18/2020,23397.7
1/18/2020,22543.8
12/17/2020,24090.2
11/17/2020,24276.3
10/17/2020,24906.8
9/17/2020,24577.5
8/17/2020,25229.3
7/17/2020,24812.9
6/17/2020,25664.7
5/17/2020,24855.6
4/17/2020,24330.4
3/17/2020,24509.5
2/17/2020,23759
1/17/2020,22921.3
12/16/2020,24095.3
11/16/2020,24618.4
10/16/2020,25901.1
9/16/2020,26417.5
8/16/2020,26532.9
7/16/2020,26333.6
6/16/2020,26711.1
5/16/2020,25967.6
4/16/2020,25860
3/16/2020,25220.5
2/16/2020,25192.1
1/16/2020,24416.3
12/15/2020,25285.8
11/15/2020,25152
10/15/2020,25931.3
9/15/2020,25747.8
8/15/2020,26005
7/15/2020,26309.2
6/15/2020,26042.4
5/15/2020,25873.6
4/15/2020,25390.7
3/15/2020,24788.2
2/15/2020,24638.9
1/15/2020,24222.5
12/14/2020,26672.1
11/14/2020,26282.1
10/14/2020,27011
9/14/2020,20752.6
8/14/2020,20856.6
7/14/2020,20707.7
6/14/2020,20729
5/14/2020,20403.3
4/14/2020,20109.1
3/14/2020,19417.2
2/14/2020,18451.6
1/14/2020,17945.5
12/13/2020,18630.2
11/13/2020,23720.4
10/13/2020,23696.7
9/13/2020,23245.9
8/13/2020,24120.5
7/13/2020,23567.1
6/13/2020,24143.9
5/13/2020,24384
4/13/2020,28179.6
3/13/2020,28216.4
2/13/2020,27952
1/13/2020,27138.8
12/12/2020,27763.9
11/12/2020,28132.8
10/12/2020,28505.3
9/12/2020,30562.6
8/12/2020,31923.9
7/12/2020,30970.7
6/12/2020,31458.8
5/12/2020,30292.5
4/12/2020,29684
3/12/2020,29496.5
2/12/2020,29546.8
1/12/2020,28389.9
12/11/2020,30413.9
11/11/2020,30971.6
10/11/2020,32015
9/11/2020,41972.6
8/11/2020,42351.8
7/11/2020,42448.3
6/11/2020,42477.2
5/11/2020,41172.9
4/11/2020,41555
3/11/2020,41608.1
2/11/2020,40924.9
1/11/2020,40331
12/10/2020,42417.1
11/10/2020,42857
10/10/2020,43624.1
9/10/2020,43876
8/10/2020,45082.6
7/10/2020,45755.3
6/10/2020,46765.3
5/10/2020,46016.2
4/10/2020,46234.2
3/10/2020,45482.4
2/10/2020,44227.1
1/10/2020,44012.3
12/9/2020,47441.4
11/9/2020,47454.3
10/9/2020,48461
9/9/2020,48669.6
8/9/2020,49966.5
7/9/2020,49677.9
6/9/2020,50419.6
5/9/2020,50957
4/9/2020,51215.6
3/9/2020,51298.4
2/9/2020,50968.4
1/9/2020,51108.7
12/8/2020,53931.5
11/8/2020,54080.6
10/8/2020,55210.7
9/8/2020,53405.9
8/8/2020,55628.2
7/8/2020,54802.5
6/8/2020,55938.5
5/8/2020,56390.6
4/8/2020,56307.4
3/8/2020,55494.8
2/8/2020,56157.4
1/8/2020,53994.1
12/7/2020,54650
11/7/2020,56579
10/7/2020,57843.2
9/7/2020,57912.9
8/7/2020,60178.5
7/7/2020,58806.7
6/7/2020,60865.7
5/7/2020,58719.6
4/7/2020,57354.7
3/7/2020,57278.7
2/7/2020,56954.9
1/7/2020,54698.1
12/6/2020,57862.5
11/6/2020,58860.2
10/6/2020,60233.2
9/6/2020,59783.4
8/6/2020,62015.9
7/6/2020,61445.8
6/6/2020,61980.4
5/6/2020,60234
4/6/2020,61020.8
3/6/2020,59859.7
2/6/2020,59960.4
1/6/2020,56531.8
12/5/2020,59426.1
11/5/2020,59094.7
10/5/2020,57075.2
9/5/2020,57866.5
8/5/2020,61220.9
7/5/2020,61109.4
6/5/2020,61731.9
5/5/2020,59474.5
4/5/2020,59093.3
3/5/2020,58330
2/5/2020,58368.8
1/5/2020,54938.7
12/4/2020,58013.6
11/4/2020,57017.9
10/4/2020,57977.1
9/4/2020,57327.4
8/4/2020,59664.1
7/4/2020,59012
6/4/2020,58992.8
5/4/2020,58565.7
4/4/2020,59352.6
3/4/2020,59186.2
2/4/2020,58381.7
1/4/2020,57143.8
12/3/2020,63394.5
11/3/2020,63778.4
10/3/2020,64615.5
9/3/2020,63949
8/3/2020,66812.7
7/3/2020,66803.1
6/3/2020,66426.5
5/3/2020,66315.5
4/3/2020,61728.4
3/3/2020,60815.8
2/3/2020,60803.4
1/3/2020,60247.9
12/2/2020,63109.4
11/2/2020,63255.8
10/2/2020,63344.8
9/2/2020,62352.4
8/2/2020,66683.5
7/2/2020,64594.2
6/2/2020,64874
5/2/2020,64537
4/2/2020,63953.3
3/2/2020,62828.5
2/2/2020,63942.2
1/2/2020,60211.7
12/1/2020,60793.5
11/1/2020,60024.8
10/1/2020,60864.4
9/1/2020,62214.2
8/1/2020,64390.5
7/1/2020,62534.2
6/1/2020,65417
5/1/2020,62878.9
4/1/2020,62301.3
3/1/2020,62859.5
2/1/2020,61731
1/1/2020,58139.5
12/1/2000,62014.2
11/1/2000,62184.7
10/1/2000,61954.7
9/1/2000,63098
8/1/2000,63621.8
7/1/2000,62278.2
6/1/2000,63275.5
5/1/2000,60300.4
4/1/2000,57911.6
3/1/2000,60573
2/1/2000,59107.2
1/1/2000,54421
12/1/1999,62719
11/1/1999,59078.1
10/1/1999,60415.4
9/1/1999,59265.4
8/1/1999,61363
7/1/1999,62669.7
6/1/1999,64458.4
5/1/1999,63464.7
4/1/1999,63722.4
3/1/1999,63320.2
2/1/1999,62779.7
1/1/1999,60254
12/1/1998,65401.5
11/1/1998,63846.8
10/1/1998,65121.8
9/1/1998,65146.9
8/1/1998,66831
7/1/1998,67183.3
6/1/1998,60837
5/1/1998,59509.7
4/1/1998,59012.3
3/1/1998,64533.5
2/1/1998,62399.8
1/1/1998,59905.7
12/1/1997,66017.1
11/1/1997,62252.8
10/1/1997,64355.2
9/1/1997,63680.2
