,api,reported_fluid_type,lease_name,well_num,6mo_oil,6mo_time,1_mo_oil,1_mo_gas,2_mo_oil,2_mo_gas,cum_oil,cum_gas,formation,top_d,btm_d,operator,basin,td,tvd,elevation,spud_date,surf_lat,surf_long,btm_lat,btm_long,stages,total_prop,total_fluid_pumped,reported_ll,stages_2,stage_delta,initial_GOR
513,42297353430000,G,1893 OIL & GAS LTD UNIT A,2,71793,6,5499.0,29877.0,14366.0,74048.0,225326,1597902,EAGLE FORD,12740.0,17905.0,BURLINGTON RESOURCES O&G CO LP,RIO GRANDE EMBAYMENT (GULF COAST BASIN),18160,12575,259.0,2013-06-03,28.6447864,-98.1399444,28.6308517,-98.1360686,2.0,8050000.0,115118.0,5338.0,1.0,1.0,5433.169667212221
514,42297353720000,G,1893 OIL & GAS LTD UNIT B,2,41956,6,6171.0,46794.0,10923.0,82519.0,136532,1337078,EAGLE FORD,13362.0,17930.0,BURLINGTON RESOURCES O&G CO LP,RIO GRANDE EMBAYMENT (GULF COAST BASIN),18232,12585,259.0,2013-08-22,28.601666700000003,-98.1702778,28.6145314,-98.18124859999999,2.0,5516000.0,85524.0,4836.0,1.0,1.0,7582.8877005347595
1,42297350750000,O,1893 OIL & GAS LTD UNIT C,1,65888,6,1528.0,1330.0,11258.0,36828.0,133907,501758,EAGLE FORD,12628.0,17827.0,BURLINGTON RESOURCES O&G CO LP,RIO GRANDE EMBAYMENT (GULF COAST BASIN),18035,12577,355.0,2012-03-24,28.6241667,-98.2088889,28.610112400000002,-98.20316340000001,1.0,3774000.0,68359.0,5410.0,1.0,0.0,870.4188481675393
2,42297351070000,G,1893 OIL & GAS LTD UNIT D,1,90353,6,5347.0,31805.0,14553.0,91103.0,265304,2141686,EAGLE FORD,12858.0,18449.0,BURLINGTON RESOURCES O&G CO LP,RIO GRANDE EMBAYMENT (GULF COAST BASIN),18659,12650,259.0,2013-06-20,28.64485,-98.1399444,28.6306095,-98.1290265,2.0,8702000.0,195079.0,5862.0,1.0,1.0,5948.1952496727135
517,42297353020000,G,1893 OIL & GAS LTD UNIT E,2,50907,6,5420.0,36874.0,2917.0,14520.0,191561,1614289,EAGLE FORD,13019.0,17950.0,BURLINGTON RESOURCES O&G CO LP,RIO GRANDE EMBAYMENT (GULF COAST BASIN),18142,12431,236.0,2013-10-31,28.5852797,-98.2107639,28.597904600000003,-98.2204288,2.0,7408000.0,106517.0,5049.0,1.0,1.0,6803.321033210332
5,42297352380000,G,1893 OIL & GAS LTD UNIT H,1,64196,6,5344.0,31246.0,10329.0,61840.0,260418,2027529,EAGLE FORD,12996.0,17613.0,BURLINGTON RESOURCES O&G CO LP,RIO GRANDE EMBAYMENT (GULF COAST BASIN),17910,12473,232.0,2012-12-30,28.5952403,-98.1981136,28.6084975,-98.2071234,2.0,5934000.0,73140.0,4915.0,1.0,1.0,5846.931137724551
6,42297353170000,G,1893 OIL & GAS LTD UNIT I,1,84130,6,4794.0,20978.0,14187.0,73452.0,277224,1758888,EAGLE FORD,12613.0,18604.0,BURLINGTON RESOURCES O&G CO LP,RIO GRANDE EMBAYMENT (GULF COAST BASIN),18810,12665,310.0,2013-05-13,28.627175,-98.2010417,28.609206099999998,-98.1906405,2.0,7414000.0,85394.0,6125.0,1.0,1.0,4375.886524822695
3015,42255352400000,O,4J MINERAL BARNETT EAST PSA A,1H,118192,6,11690.0,14338.0,33039.0,45239.0,186057,218477,EAGLE FORD,12592.0,18977.0,MURPHY EXPLORATION & PRODUCTION CO-USA,KARNES FAULT ZONE (GULF COAST BASIN),19127,12008,291.0,2017-04-21,28.9349853,-97.83747149999999,28.948966499999997,-97.85285440000001,2.0,13924000.0,382850.0,6482.0,1.0,1.0,1226.5183917878528
3016,42255352470000,O,4J MINERAL BARNETT EAST PSA B,1H,110359,6,19149.0,20977.0,40170.0,54109.0,204917,301180,EAGLE FORD,12609.0,19120.0,MURPHY EXPLORATION & PRODUCTION CO-USA,KARNES FAULT ZONE (GULF COAST BASIN),19285,11977,290.0,2017-04-22,28.9350354,-97.8374182,28.949835200000003,-97.8529157,2.0,14410000.0,387971.0,6548.0,1.0,1.0,1095.4619040158755
6307,42255352450000,O,4J MINERAL UNIT,3H,65368,6,16571.0,25938.0,21291.0,32300.0,119602,173509,EAGLE FORD,12536.0,15384.0,MURPHY EXPLORATION & PRODUCTION CO-USA,KARNES FAULT ZONE (GULF COAST BASIN),15535,12164,291.0,2017-03-10,28.936836699999997,-97.8362835,28.943719,-97.8422869,2.0,7390000.0,167322.0,2910.0,1.0,1.0,1565.264618912558
6308,42013347310000,O,74 RANCH SPECIAL UNIT EAST,3H,79772,6,14751.0,10566.0,21724.0,20865.0,236258,250990,EAGLE FORD,11110.0,17780.0,MARATHON OIL EF LLC,KARNES FAULT ZONE (GULF COAST BASIN),17918,11149,301.2,2013-07-17,28.6343417,-98.33287779999999,28.622216899999998,-98.3207395,2.0,5048000.0,132914.0,6662.0,1.0,1.0,716.2904209884076
6309,42311354520100,O,74 RANCH SPECIAL UNIT WEST,3H,90112,6,12701.0,8485.0,26420.0,22199.0,248611,247614,EAGLE FORD,11152.0,18177.0,MARATHON OIL EF LLC,KARNES FAULT ZONE (GULF COAST BASIN),18310,11274,331.0,2014-02-05,28.628713899999997,-98.3438278,28.6161875,-98.3274217,2.0,6948000.0,188624.0,7075.73,1.0,1.0,668.0576332572239
6310,42297359800000,O,74 RANCH-GUAJILLO UNIT A,3H,103248,6,51789.0,41118.0,38248.0,31680.0,165380,161973,EAGLE FORD,11270.0,18043.0,MARATHON OIL EF LLC,KARNES FAULT ZONE (GULF COAST BASIN),18174,10965,263.0,2019-02-25,28.635766999999998,-98.29690699999999,28.652744300000002,-98.31362920000001,2.0,20182000.0,266875.0,6667.0,1.0,1.0,793.9523837108267
8098,42013356410000,O,74 RANCH-GUAJILLO UNIT B,5H,67907,4,19751.0,14318.0,24497.0,20988.0,87658,91694,EAGLE FORD,11813.0,17398.0,MARATHON OIL EF LLC,KARNES FAULT ZONE (GULF COAST BASIN),17533,11010,283.0,2019-01-09,28.642984000000002,-98.29525699999999,28.6539408,-98.31023950000001,2.0,15924000.0,282668.0,6015.0,1.0,1.0,724.92532023695
10472,42311348890000,O,76 RANCH MCM,C  3H,35084,6,3288.0,5511.0,9903.0,17051.0,71152,209181,EAGLE FORD,11381.0,16875.0,CHESAPEAKE OPERATING INC,RIO GRANDE EMBAYMENT (GULF COAST BASIN),16993,11133,267.0,2012-09-24,28.427088899999998,-98.58744540000001,28.443657799999997,-98.5880277,2.0,6632000.0,115356.0,5593.0,1.0,1.0,1676.094890510949
8099,42255332650000,O,A BANDUCH A,5H,80272,6,3913.0,2872.0,15921.0,14994.0,245435,343537,EAGLE FORD,11094.0,16931.0,BHP BILLITON PETROLEUM(TXLA OP) CO,KARNES FAULT ZONE (GULF COAST BASIN),17082,11243,332.0,2013-07-29,28.996899,-97.87463170000001,28.984563800000004,-97.86278730000001,2.0,5602000.0,129994.0,5734.0,1.0,1.0,733.9637107078968
3023,42255333760000,O,A BANDUCH B,1H,31507,6,5369.0,25119.0,5776.0,30266.0,78768,229032,EAGLE FORD,11127.0,16963.0,BHP BILLITON PETROLEUM(TXLA OP) CO,KARNES FAULT ZONE (GULF COAST BASIN),17103,11240,351.0,2013-12-10,29.0042857,-97.8645066,28.9889818,-97.85752049999999,2.0,5578000.0,139902.0,5773.0,1.0,1.0,4678.524864965543
