lease_name,6mo_oil,cum_oil,total_prop,total_fluid_pumped
1893 OIL & GAS LTD UNIT A,71793,225326,8050000,115118
1893 OIL & GAS LTD UNIT B,41956,136532,5516000,85524
1893 OIL & GAS LTD UNIT C,65888,133907,3774000,68359
1893 OIL & GAS LTD UNIT D,90353,265304,8702000,195079
1893 OIL & GAS LTD UNIT E,50907,191561,7408000,106517
1893 OIL & GAS LTD UNIT H,64196,260418,5934000,73140
1893 OIL & GAS LTD UNIT I,84130,277224,7414000,85394
4J MINERAL BARNETT EAST PSA A,118192,186057,13924000,382850
4J MINERAL BARNETT EAST PSA B,110359,204917,14410000,387971
4J MINERAL UNIT,65368,119602,7390000,167322
74 RANCH SPECIAL UNIT EAST,79772,236258,5048000,132914
74 RANCH SPECIAL UNIT WEST,90112,248611,6948000,188624
74 RANCH-GUAJILLO UNIT A,103248,165380,20182000,266875
74 RANCH-GUAJILLO UNIT B,67907,87658,15924000,282668
76 RANCH MCM,35084,71152,6632000,115356
A BANDUCH A,80272,245435,5602000,129994
A BANDUCH B,31507,78768,5578000,139902
A BANDUCH C,166799,609842,6358000,156401
A F O UNIT,48994,167939,6548000,83255
A GREAVES A,24973,245126,3482000,83206
A GREAVES B,18934,195355,2532000,59399
A J BAKER A,163237,447166,3074000,69141
A MUELLER A-KOEHLER SW A,214584,288682,25926000,548763
A MUELLER A-KOEHLER SW B,171701,242517,26042000,547641
A MUELLER A-KOEHLER SW C,190316,261223,25882000,545954
A MUELLER A-KOEHLER SW D,254412,356015,26224000,545511
A MUELLER UNIT A,71951,285068,6026000,86886
A MUELLER UNIT B,117891,373936,9652000,166569
A RANCH UNIT,70606,159282,14966000,0
A VAUGHN UNIT A,82215,243366,735168,85062
A WITTE A,63782,125845,5900000,0
ACADIA A,110042,233581,19952000,420086
ACADIA B,129260,250401,19560000,404578
ACADIA C,101944,197290,18260000,351196
ACADIA D,140438,253643,16780000,344416
ACADIA F,100984,157244,18564000,377130
ACADIA G,110680,169960,17634000,325923
ACADIA H,130790,220149,18434000,375019
ADAMEK UNIT A,48004,141272,6728000,89574
ADAMEK UNIT B,52158,152813,5518000,88013
ADAMS UNIT A,201528,679353,12172000,211829
ADAMS-TIPTON UNIT,62962,187899,5168700,96060
ADELE DUBOSE,80960,355404,3858000,65376
ADELE DUBOSE UNIT A,29411,109662,3649000,75608
ADIX A 4,109069,139224,11992000,211070
ADIX A 5,73278,98143,12348000,220436
ADIX A 6,64338,94901,11362000,201194
ADIX A 7,92524,119994,12652000,224307
ADIX UNIT A,105490,391702,7492000,106886
AERY,57482,157777,6645160,109526
AHLHORN NAJVAR UNIT,32457,102673,5014000,89509
AHLSTROM UNIT B,22865,52918,3758000,44127
ALEXANDER 01,95227,170805,3348000,55884
ALEXANDER MURPHY,50670,127613,2470000,56437
ALEXANDER-WESSENDORFF 2 (SA) A2,90309,123971,10704000,349074
ALICE MAY UNIT,86869,317877,6108000,199419
ALLEN MCM,69676,125044,18066000,352020
ALLEN PAGEL UNIT,76818,286561,10492000,160491
ALLEN TRUST UNIT,68639,214661,9452000,136452
ALLEN UNIT,56119,155372,6498000,115550
ALLEN UNIT A,125844,360564,724933,84551
ALLMAN UNIT,108218,266807,8372000,129492
ALTON UNIT,58926,299309,6638000,80684
ALVIN MOCZYGEMBA A,41751,100344,9386000,143490
ALVIN NK UNIT,57680,156509,5695320,91297
AMBROSE URBANCZYK,27756,84710,2160000,39374
ANGUS UNIT,135048,278788,11462000,228790
ANN FRIAR THOMAS,19190,56244,3427960,76469
ANNIE TRIAL ET AL,133832,245783,11284000,237160
ANNIE UNIT,42162,139459,3540000,63350
ANTEATER,46720,132233,8408000,172375
ANTHONY EAST UNIT 1,57367,192171,6192000,216564
ANTHONY WEST UNIT,58893,200260,6260000,217090
ANTON URBANCZYK,40147,117339,6462000,114536
ANTRIM COOK UNIT,9998,91877,10252000,200086
ANZALDUA OXFORD UNIT,65242,261185,3414000,56758
AOUDAD UNIT,41816,162299,5976000,91139
APOLLO UNIT,47780,86187,10526000,198534
